labels,SELFIES
1,[C][C][=C][C][=C][C][Branch2][Ring2][C][C][=N][N][C][C][N][Branch2][Ring1][Ring2][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring1][=N][Ring2][Ring1][O]
0,[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][#C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=C][Ring1][S]
0,[N][#C][C][C][=C][S][C][=Ring1][Branch1][C][=N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C][Ring1][=N]
1,[C][N][C][C][C@][C][=C][C][=C][C][Branch1][=C][O][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1][=C][Ring1][#C][O][C@H1][Ring2][Ring1][C][C@@H1][Branch1][=C][O][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=C][C@H1][Ring2][Ring1][#C][C@H1][Ring2][Ring2][Ring1][C][Ring2][Ring1][#C]
1,[C][NH0][O].[C][C][O][C][Branch2][Ring1][O][C][Branch1][C][C][Branch1][C][C][N][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][N][C][Branch1][C][C][Branch1][C][C][N][=C][Branch1][C][C][C][=Ring2][Ring1][C][C]
1,[C][N][C@H1][Branch1][C][C][C][C][C][C][C][C][C][Ring1][=Branch1]
1,[C][C][=N][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N][Ring1][Branch2][C][C][O]
1,[C][O][C][=Branch1][C][=O][C@@H1][C@@H1][C][C@@H1][C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][=Branch2][C][C][N][Ring1][=N][C][C@@H1][Ring1][P][C][C@@H1][Branch2][Ring1][#Branch2][O][C][=Branch1][C][=O][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][N][C@@H1][Ring2][Ring2][Ring2][O][C]
0,[N][C][C][C@H1][Branch1][C][O][C][=Branch1][C][=O][N][C@@H1][C][C@H1][Branch1][C][N][C@@H1][Branch1][#C][O][C@H1][O][C@H1][Branch1][Ring1][C][N][C][C][C@H1][Ring1][Branch2][N][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][N][C@H1][Ring1][#Branch2][O]
1,[C][N][Branch1][C][C][C][C][O][C][Branch1][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1]
1,[C][N][C][C][C][C][Ring1][Branch1][C][C][Branch2][Ring1][=Branch2][N][C][=Branch1][C][=O][N][C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][O][C][Ring2][Ring1][Branch1]
0,[C][=C][C@H1][C][N@@][C][C][C@H1][Ring1][=Branch1][C][C@H1][Ring1][=Branch1][C@H1][Branch1][C][O][C][=C][C][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][Ring1][Branch2]
1,[C][C][C][C][Branch1][C][C][C][O][B][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][O][C][Ring1][=C]
0,[C][C][C@@H1][Branch1][C][C][N][N][=C][N][Branch2][=Branch1][#Branch1][C][=C][C][=C][Branch2][Branch1][O][N][C][C][N][Branch2][Ring2][#C][C][=C][C][=C][Branch2][Ring2][Ring1][O][C][C@@H1][C][O][C@@][Branch1][=Branch2][C][N][C][N][=C][N][Ring1][Branch1][Branch1][=N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][O][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][O][C][C][Ring2][Ring1][P][C][=C][Ring2][Ring2][#Branch1][C][Ring2][Ring2][N][=O]
0,[C][C][Branch1][C][C][Branch1][C][C][/N+1][Branch1][C][O-1][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1]
0,[C][C][C][C][=N][C][Branch1][C][C][=C][C][=Branch1][C][=O][NH1][C][Branch2][Ring2][C][C][=C][C][Branch2][Ring1][Ring2][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][N][Branch1][Ring1][C][C][C][C][Ring1][Branch2][=C][C][=C][Ring1][P][O][C][C][=N][N][Ring2][Ring1][#C][Ring2][Ring1][O]
1,[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][N][Ring1][=Branch1][C][C][N][C][Ring1][=Branch1][C][C][C][Ring1][#Branch2].[H+1]
1,[C][C][N][N][=N][N][Branch2][Ring2][Branch1][C][C][N][C][C][C@H1][Branch2][Ring1][Ring2][N][Branch1][Branch2][C][=Branch1][C][=O][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C@H1][Branch1][C][C][C][Ring2][Ring1][Ring2][C][Ring2][Ring1][O][=O]
1,[C][C][Branch1][C][C][N][C][C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][Ring1][Branch2][Branch1][C][O][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2]
0,[C][C][=Branch1][C][=O][C][Branch1][C][N][C][C][=C][Branch1][C][O][C][=C][Branch2][Ring1][=C][C][Branch1][C][O][=C][Ring1][Branch2][C][Branch1][S][O][C][C][C][Branch1][C][O][C][Branch1][C][O][C][O][Ring1][Branch2][C][Ring2][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][=Branch2][=O]
0,[C][N][C][N][C][C][S][C][C][N][=C][NH1][C][=Ring1][Branch1][C].[N][#C][N]
1,[C][N][Branch1][C][C][C][C][C@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1]
1,[C][C][O][C@H1][C][C@][Branch1][C][C][C@H1][Branch2][Ring1][P][C][C][C@H1][C@@H1][Ring1][#Branch1][C@H1][Branch1][=Branch1][N][Branch1][C][C][C][C][C@][Branch1][C][C][C@@H1][Ring1][#Branch2][C][C][C@H1][Ring1][=Branch1][C][Branch1][C][C][=O][C][C@@H1][Ring2][Ring1][=Branch2][O]
1,[C][N][Branch1][C][C][C][C@H1][Branch1][C][O][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1]
0,[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][C][O][C][=C][C][=C][Branch1][C][O][C][=C][Branch1][C][O][C][Branch1][C][C][=C][C][=Branch1][=Branch1][=C][Ring1][=N][Ring1][Branch2][C][=Branch1][C][=O][C@@][Branch1][C][C][Branch2][Branch1][=Branch2][O][/C][=C][/C@H1][Branch1][Ring1][O][C][C@@H1][Branch1][C][C][C@@H1][Branch1][#Branch1][O][C][Branch1][C][C][=O][C@H1][Branch1][C][C][C@H1][Branch1][C][O][C@H1][Branch1][C][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][C][/C][=C][/C][=C][Branch1][C][/C][C][=Branch1][C][=O][N][Ring2][Ring2][=C][O][Ring2][Ring2][#Branch1]
1,[C][C][Branch1][C][C][C][Branch1][O][C][C][C][C][C][C][=Branch1][C][=O][O][N][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]
0,[C][C][O][N][=C][Branch1][=N][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][Cl][C][=Ring1][=N][C][=Branch1][C][=O][N][C@@H1][C][=Branch1][C][=O][N][C@@H1][Ring1][Branch1][S][C][Branch1][C][C][Branch1][C][C][C@@H1][Ring1][#Branch1][C][=Branch1][C][=O][O]
1,[O][C][C][N][C][C][N][Branch2][Ring1][P][C][C][C][N][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=C][Ring1][#Branch2][S][C][S][C][=C][C][=Ring1][Branch1][Ring1][P][C][C][Ring2][Ring1][#Branch2]
0,[C][=N][C@@H1][Branch2][Ring1][#C][C][=Branch1][C][=O][N][C@H1][C][=Branch1][C][=O][N][C@@H1][Ring1][Branch1][S][C][Branch1][C][C][Branch1][C][C][C@H1][Ring1][#Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1]
1,[C][C][=Branch1][C][=O][O][C@@H1][Branch1][C][C][C][=Branch1][C][=O][C@@][Branch1][C][O][C][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@][Ring1][#Branch1][Branch1][C][C][C@@][Ring1][N][Branch1][C][F][C@@H1][Branch1][C][O][C][C@@][Ring2][Ring1][C][Ring2][Ring1][=Branch1][C]
1,[C][C][O][C][=Branch1][C][=O][N][C][=C][N][Branch1][C][C][C][Ring1][=Branch1][=S]
0,[C][C][Branch1][C][O][C][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Branch1][N][S][C][C][C][S][=Branch1][C][=O][C][Ring1][=Branch1][S][C][Ring2][Ring1][C][Ring1][#C]
1,[C][=C][C][C@@H1][C@@H1][C][=C][C][=C][C][=Branch1][C][=O][C][C][C@@][Ring1][#Branch1][Branch1][C][C][C@@H1][Ring1][N][C@@H1][Branch1][C][O][C][C@][Ring1][P][Branch1][C][C][C@][Ring2][Ring1][Branch1][Branch1][C][O][C][=Branch1][C][=O][C][O]
1,[C][O][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][C@@H1][C][C][=Branch1][C][=O][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][N][Ring1][O][C][C][Ring2][Ring1][Ring1]
1,[C][N][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][=C][C][=C][Ring1][Branch1][C@H1][Ring1][=C][C][Ring2][Ring1][C]
0,[C][C][C@@H1][C][C][C@H1][Branch1][C][N][C@H1][Branch2][Ring2][=Branch2][O][C@H1][C@H1][Branch1][C][O][C@@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C][C@@][Branch1][C][C][Branch1][C][O][C@H1][Branch1][Ring1][N][C][C@@H1][Ring1][#Branch2][O][C@@H1][Branch1][C][N][C][C@@H1][Ring2][Ring1][Ring2][N][O][Ring2][Ring1][=N]
1,[C][N][C][C][C][C@@H1][Ring1][Branch1][C][=C][C][=C][N][=C][Ring1][=Branch1]
0,[C][C][O][C][=Branch1][C][=O][N][N][C][=C][C][=C][Branch1][#C][N][Branch1][#Branch1][C][C][Branch1][C][C][O][C][Branch1][C][C][C][N][=N][Ring1][=C]
1,[C][C][C][C][=Branch1][C][=O][O][C][Branch1][N][C][=Branch1][C][=O][C][O][C][Branch1][C][C][=O][C][C][C][C][C][C][Branch1][C][F][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Branch1][C][C][C][Ring1][=N][Branch1][C][F][C][Branch1][C][O][C][C][Ring2][Ring1][Ring1][Ring2][Ring1][=N][C]
1,[C][C][Branch1][C][C][O][C][=C][C][=C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][O][C][N][C][C][C][C][N][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
1,[N][#C][C][N][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2]
0,[C][C][N][C][=Branch1][C][=O][C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1]
0,[C][C][O][N][=C][Branch1][=N][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl][C][=Ring1][=N][C][=Branch1][C][=O][N][C@H1][C][=Branch1][C][=O][N][C@H1][Ring1][Branch1][S][C][Branch1][C][C][Branch1][C][C][C@H1][Ring1][#Branch1][C][=Branch1][C][=O][O]
1,[N][#C][C][C][N][C][=Branch1][C][=O][C][Branch1][C][O][N][=C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][Ring2][Ring1][Branch1]
1,[C][C][=Branch1][C][=O][N][C][C][C][C@H1][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][=Branch1][C][=O][O]
1,[N][C][C@H1][C][N][Branch2][Ring2][Branch2][C][=N][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][F][C][=Branch1][C][=O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][N][Ring1][=N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][F][C][C@@H1][Ring2][Ring1][=N][Ring2][Ring1][N]
1,[C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][=N][C]
0,[C][O][C@@][Branch2][Ring1][O][N][C][=Branch1][C][=O][C][S][C][=Branch1][=C][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=Branch1][C][=O][O][S][Ring1][O][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Branch1][O][C][S][C][=N][N][=N][N][Ring1][Branch1][C][C][S][C@@H1][Ring1][P][Ring2][Ring2][C]
1,[O][=C][N][Branch1][=N][C][Branch1][C][O][C][Branch1][C][Cl][Branch1][C][Cl][Cl][C][N][C][Ring1][O][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
0,[C][C][Branch1][C][C][S][C][C][Branch2][Ring2][=Branch2][N][C][=Branch1][C][=O][C][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][N][C][C][N][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][C][Ring1][=Branch2][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][N][C][Ring2][Ring1][S][C][=Branch1][C][=O][O]
0,[C][=C][C][=C][Branch1][C][Cl][C][=C][C][Branch1][C][O][=C][Ring1][Branch2][C][Branch1][C][O][=C][C][=Branch1][C][=O][C][Branch1][C][O][C][=Branch1][C][=O][/C][=Branch1][=Branch1][=C][Branch1][C][/N][O][C][=Branch1][C][=O][C][Branch1][=Branch1][N][Branch1][C][C][C][C][Ring1][#C][C][Branch1][C][O][C][Ring2][Ring1][S][Ring2][Ring1][Branch1]
0,[C][N][Branch1][C][C][C@H1][C][Branch1][C][O][=C][Branch2][Ring1][O][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][C][N][Branch1][Ring2][C][C][O][C][C][Ring1][=Branch2][C][=Branch1][C][=O][C@@][Branch1][C][O][C][Branch1][C][O][=C][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][C@@][Branch1][C][C][Branch1][C][O][C@H1][Ring1][=C][C][C@@H1][Ring2][Ring2][#Branch2][Ring2][Ring1][Ring2]
1,[C][C][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][=N]
1,[C][O][C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][N][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][Branch2][Ring1][C][C][=C][C][Branch1][C][O][C][C][Branch1][C][O][C][C][=Branch1][C][=O][O][=C][Ring2][Ring1][#Branch1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]
0,[O][=C][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C@][Branch1][Branch2][C][#C][C][C][C][Ring1][Ring1][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][O][Ring2][Ring1][Ring2]
0,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C][N+1][Branch1][C][C][Branch1][C][C][C]
1,[C][C][C][C@@H1][Branch2][Ring1][=C][N][C@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@@H1][C][C][C][C][C@@H1][Ring1][=Branch1][Ring1][N][C][=Branch1][C][=O][O][C][C]
0,[O][=C][Branch1][C][O][C][C][C][C][C][C][C][C][=Branch1][C][=O][O]
0,[C][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][O][C][=Branch1][C][=O][C@H1][N][C][=Branch1][C][=O][C@@H1][Branch1][N][N][=C][N][C][C][C][C][C][C][Ring1][#Branch1][C@H1][Ring1][=C][S][C][Ring1][P][Branch1][C][C][C]
1,[N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][S]
1,[C][C][N][Branch1][Ring1][C][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C@@][Branch1][C][O][C][C][C@H1][C@H1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][N][C@H1][Branch1][C][O][C][C@][Ring1][P][Ring2][Ring1][Branch1][C]
0,[C][N][C][C][Branch2][Branch1][Branch1][O][C][C][Branch2][Ring1][P][O][C][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][#Branch1][N][C][=Branch1][C][=N][N][C][Branch1][C][O][C][Ring1][=N][N][C][=Branch1][C][=N][N][O][C][Branch1][C][C][C][Ring2][Ring1][Branch2][Branch1][C][O][C][=O][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Ring2][Ring2][Branch1][O]
1,[C][N][C][=Branch1][C][=O][C][C@@][Branch1][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=N][=O]
1,[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][N][Branch1][C][C][C][C@H1][Ring1][Branch2][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2]
0,[C][O][C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][C][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=Branch1][Ring2][=N][O][C][C][=C][S][C][Branch1][C][N][=N][Ring1][=Branch1][C][Ring2][Ring1][C][S][C][Ring2][Ring1][=Branch2]
1,[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][C][C][C][=C][C][=C][C][NH1][C][=C][Branch1][=Branch1][C][Ring1][=Branch2][=Ring1][Branch1][C][C][Ring1][N][N][Branch1][C][C][C][Ring1][P]
1,[O][C][C][N][C][C][N][Branch2][Ring2][Ring1][C][C][/C][=C][\C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][Ring2][Ring1][C][C][C][Ring2][Ring1][O]
1,[C][C][Branch1][#Branch2][C][C][Branch1][C][C][Branch1][C][C][O][O][C][Branch1][C][O][C][Branch1][C][Cl][Branch1][C][Cl][Cl]
0,[C][C][=Branch1][C][=O][O][C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][C@H1][Branch1][#C][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Ring1][#C][S][C][Ring2][Ring1][=Branch1]
1,[C][C][=Branch1][C][=O][O][C][Branch1][=Branch1][C][Branch1][C][C][=O][C][C][C][C][C][C][Branch1][C][C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Branch1][C][C][C][Ring1][=N][Branch1][C][F][C][Branch1][C][O][C][C][Ring2][Ring1][Ring1][Ring2][Ring1][=Branch2][C]
1,[C][C@H1][Branch1][#Branch1][C][N][Branch1][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][S]
0,[N][C][C@H1][O][C@@H1][Branch2][Ring2][=Branch2][O][C@@H1][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@H1][O][C@@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][N][C@@H1][Ring1][#Branch2][O][C@@H1][Branch1][C][N][C][C@H1][Ring2][Ring1][Ring2][N][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring2][Ring1][=C][O]
1,[C][N][C@H1][C][C][C@H1][Ring1][Branch1][C][C][Branch2][Ring1][C][O][C][=Branch1][C][=O][C@H1][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][C]
0,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][Branch1][N][C][Branch1][C][O][=C][Ring1][Branch2][C][Ring1][=N][=O][C][C@][Branch1][C][O][Branch1][#Branch1][C][=Branch1][C][=O][C][O][C][C@@H1][Ring1][S][O][C@@H1][C][C@H1][Branch1][C][N][C][C@H1][Branch1][C][C][O][Ring1][Branch2]
1,[N][N][C][=Branch1][C][=O][C][P][=Branch1][C][=O][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
1,[C][C][Branch2][Ring1][O][N][C][C][N][C][=N][C][=C][Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][N][Ring1][=Branch2][C][C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1]
0,[C][C][C][Branch1][Ring1][C][O][N][C][=N][C][Branch1][O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][N][=C][N][Branch1][=Branch1][C][Branch1][C][C][C][C][Ring1][Branch2][=N][Ring2][Ring1][Ring2]
1,[C][C][=C][N][=C][Branch2][Ring1][Ring1][C][S][=Branch1][C][=O][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2][C][=C][Ring2][Ring1][C][O][C][C][Branch1][C][F][Branch1][C][F][F]
0,[C][C][O][N][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][O][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][Ring1][Branch1][S][C][Branch1][C][C][Branch1][C][C][C][Ring1][#Branch1][C][=Branch1][C][=O][O]
1,[N][C][=C][C][=Branch1][N][=N][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][C][C@@H1][Ring1][=N][O]
0,[C][C][N][Branch1][Ring1][C][C][C][C][C][C@H1][Branch1][C][C][N][C][=C][C][=N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][O][Ring1][#Branch1]
1,[C][C][C][C][Branch1][Ring1][C][C][C][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][Ring1][#Branch2][=O]
0,[C][C][=N][N][=C][Branch2][Ring2][=C][S][C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][C@@H1][Branch2][Ring1][C][N][C][=Branch1][C][=O][C@H1][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Ring1][S][S][C][Ring2][Ring1][#Branch1][S][Ring2][Ring1][=C]
1,[C][C][=Branch1][C][=O][O][C@H1][Branch1][C][C][C][=Branch1][C][=O][C@@][Branch1][C][O][C][C][C@H1][C@H1][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@@][Ring1][#Branch1][Branch1][C][C][C@@][Ring1][N][Branch1][C][F][C@H1][Branch1][C][O][C][C@][Ring2][Ring1][C][Ring2][Ring1][=Branch1][C]
1,[C][C][O][C@H1][C][C@@][Branch1][C][C][C@@H1][Branch2][Ring2][Ring1][C][C][C@@H1][C@@H1][Ring1][#Branch1][C@H1][Branch1][=Branch1][N][Branch1][C][C][C][C][C@][Branch1][C][C][C@@H1][Branch1][=Branch1][C][Branch1][C][C][=O][C][C][C@@H1][Ring1][S][Ring1][=Branch2][C][C@@H1][Ring2][Ring1][=Branch2][O]
1,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][Branch1][#Branch1][O][C][Branch1][C][C][=O][=C][C][C][C][Branch1][Ring2][C][Ring1][#C][N][Branch1][C][C][C][C][C][Ring2][Ring1][Ring1][Ring1][S][Ring1][Branch2]
1,[C][C@@][C][C][C@@H1][C@H1][Branch1][P][C][C][C][=C][C][=Branch1][C][=O][C][C][C@][Ring1][#Branch1][Ring1][O][C][C@H1][Ring1][S][C][C][C@H1][Ring2][Ring1][Ring1][O]
0,[C][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][C][Branch2][Ring1][#Branch1][O][C][C][C][Branch1][C][C][Branch1][Ring1][O][C][C][Branch1][C][O][C][Branch1][C][C][O][Ring1][O][C][Branch1][C][C][C][Branch2][Ring1][Branch1][O][C][O][C][Branch1][C][C][C][C][Branch1][=Branch1][N][Branch1][C][C][C][C][Ring1][#Branch2][O][C][Branch1][C][C][Branch1][C][O][C][C][Branch1][C][C][C][N][Branch1][C][C][C][Branch1][C][C][C][Branch1][C][O][C][Ring2][Ring2][S][Branch1][C][C][O]
1,[O][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][Branch1][S][C][O][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][Ring1][S]
1,[C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C@@][O][C][Branch1][C][C][Branch1][C][C][O][C@@H1][Ring1][#Branch1][C][C][C][C][C@H1][Branch1][C][F][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Branch1][C][C][C@@][Ring1][=N][Branch1][C][F][C][Branch1][C][O][C][C][Ring2][Ring1][Ring1][Ring2][Ring1][O][C]
0,[N][#C][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][Branch1][C][Cl][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][#C][Cl]
0,[C][N][Branch1][C][C][C][C][Branch1][C][O][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=Branch1][C][=O][C][Branch1][C][O][C][Branch1][C][O][=C][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][Branch1][C][Cl][=C][Ring1][Branch2][C][Branch1][C][O][C][Ring1][=C][C][C][Ring2][Ring1][=N][Ring2][Ring1][Ring2]
1,[C][C][C][=Branch1][C][=O][O][C@][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][C][C][N][Branch1][C][C][C]
1,[N][C][C][C][C][C][Branch1][O][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][=Branch2][C][Ring1][#Branch2].[H+1]
